Date,Product,Category,Quantity,Price,Sales,Stock
2023-10-01,Premium AI Camera,Electronics,12,150,1800,50
2023-10-02,Premium AI Camera,Electronics,15,150,2250,45
2023-10-03,Premium AI Camera,Electronics,9,150,1350,30
2023-10-04,Premium AI Camera,Electronics,20,150,3000,10
2023-10-01,Smart Home Hub,Electronics,8,99,792,100
2023-10-02,Smart Home Hub,Electronics,10,99,990,92
2023-10-03,Smart Home Hub,Electronics,7,99,693,82
2023-10-04,Smart Home Hub,Electronics,15,99,1485,75
2023-10-01,Ergonomic Chair,Furniture,4,250,1000,20
2023-10-02,Ergonomic Chair,Furniture,2,250,500,18
2023-10-03,Ergonomic Chair,Furniture,1,250,250,16
2023-10-04,Ergonomic Chair,Furniture,6,250,1500,10
2023-10-01,Noise-Canceling Headphones,Electronics,25,120,3000,200
2023-10-02,Noise-Canceling Headphones,Electronics,18,120,2160,175
2023-10-03,Noise-Canceling Headphones,Electronics,30,120,3600,157
2023-10-04,Noise-Canceling Headphones,Electronics,22,120,2640,127
